topic,count,default_name,year_min,year_max,top_documents
242,15,242_que_las_property_casa,1838,1912,"Autobiography of a Female Slave (Martha Griffith Browne): 2 | My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life as a Freeman (Frederick  Douglass): 2 | Poems by a Slave in the Island of Cuba, Recently Liberated; Translated from the Spanish, by R. R. Madden, M.D. With the History of the Early Life of the Negro Poet, Written by Himself; to Which Are Prefixed Two Pieces Descriptive of Cuban Slavery and the Slave-Traffic, by R. R. M. (Juan Francisco Manzano): 2 | The Light and Truth of Slavery. Aaron's History (  Aaron): 1 | The House of Bondage, or, Charlotte Brooks and Other Slaves, Original and Life Like, As They Appeared in Their Old Plantation and City Slave Life; Together with Pen-Pictures of the Peculiar Institution, with Sights and Insights into Their New Relations as Freedmen, Freemen, and Citizens (Octavia V. Rogers Albert): 1"
243,15,243_peanut_butter_add_potato,1929,1929,From Captivity to Fame or The Life of George Washington Carver (Raleigh H. Merritt): 15
244,15,244_freedmen_fortyfourth_contraband_government,1841,1918,"Lunsford Lane; or, Another Helper from North Carolina (William G. Hawkins): 3 | A Narrative of the Negro (Leila Amos Pendleton): 2 | The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 1 | Toussaint L'Ouverture: A Biography and Autobiography (J. R. Beard): 1 | A Slave's Adventures Toward Freedom. Not Fiction, but the True Story of a Struggle (Peter  Bruner): 1"
245,15,245_exodus_emigrate_rochester_antislavery,1810,1906,"Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 3 | Frederick Douglass The Colored Orator (Frederic May Holland): 3 | A Narrative of Thomas Smallwood, (Coloured Man:) Giving an Account of His Birth--The Period He Was Held in Slavery--His Release--and Removal to Canada, etc. Together With an Account of the Underground Railroad. Written by Himself (Thomas  Smallwood): 2 | The House of Bondage, or, Charlotte Brooks and Other Slaves, Original and Life Like, As They Appeared in Their Old Plantation and City Slave Life; Together with Pen-Pictures of the Peculiar Institution, with Sights and Insights into Their New Relations as Freedmen, Freemen, and Citizens (Octavia V. Rogers Albert): 1 | The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 1"
246,15,246_millie_christine_millie christine_twohead,1902,1902,"Biographical Sketch of Millie Christine, the Carolina Twin, Surnamed the Two-Headed Nightingale and the Eighth Wonder of the World (  No Author): 13 | The History of the Carolina Twins: Told in ""Their Own Peculiar Way"" By ""One of Them"" (  Millie-Christine): 2"
247,15,247_parson_badger answer_badger_lewis,1856,1910,"Life of James Mars, a Slave Born and Sold in Connecticut. Written by Himself (James  Mars): 5 | Life of James Mars, A Slave Born and Sold in Connecticut. Written by Himself (James  Mars): 5 | A North-Side View of Slavery. The Refugee: or the Narratives of Fugitive Slaves in Canada. Related by Themselves, with an Account of the History and Condition of the Colored Population of Upper Canada (Benjamin  Drew): 1 | Days of Bondage. Autobiography of Friday Jones. Being a Brief Narrative of His Trials and Tribulations in Slavery (Friday  Jones): 1 | Behind the Scenes, or, Thirty years a Slave, and Four Years in the White House (Elizabeth  Keckley): 1"
248,15,248_gorsuch_kline_pinckney_mr gorsuch,1831,1873,"The Freedman's Story: In Two Parts (William  Parker): 6 | A Thrilling Narrative from the Lips of the Sufferers of the Late Detroit Riot, March 6, 1863, With the Hair Breadth Escapes of Men, Women and Children, and Destruction of Colored Men's Property, Not Less Than $15,000. (  No Author): 1 | John and Mary; or, The Fugitive Slaves, a Tale of South-Eastern Pennsylvania (Ellwood  Griest): 1 | Lunsford Lane; or, Another Helper from North Carolina (William G. Hawkins): 1 | The White Slave; or, Memoirs of a Fugitive (Richard  Hildreth): 1"
249,15,249_tuckahoe_race_history_carver,1854,1929,"God's Image in Ebony: Being a Series of Biographical Sketches, Facts, Anecdotes, etc., Demonstrative of the Mental Powers and Intellectual Capacities of the Negro Race (H. G. Adams): 2 | Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 2 | Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 1 | My Southern Home: or, The South and Its People (William Wells Brown): 1 | From the Darkness Cometh the Light or Struggles for Freedom (Lucy A. Delaney): 1"
250,15,250_problem_solve_negro problem_race,1855,1911,"My Larger Education: Being Chapters from My Experience (Booker T. Washington): 7 | The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D. (M. L. Latta): 4 | Up from Slavery: An Autobiography (Booker T. Washington): 3 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 1"
251,15,251_hardy_brown_police_weaver,1789,1910,"Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 7 | Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 3 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 3 | The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African. Written by Himself. Vol. II. (Olaudah  Equiano): 1 | Out of the Ditch.  A True Story of an Ex-Slave (J. Vance Lewis): 1"
252,15,252_welday_freudenberger_squire_lewis,1790,1908,"Memoirs of Samuel Spottford Clement Relating Interesting Experiences in Days of Slavery and Freedom (Samuel Spottford Clement): 3 | Twenty-Two Years a Slave, and Forty Years a Freeman; Embracing a Correspondence of Several Years, While President of Wilberforce Colony, London, Canada West (Austin  Steward): 2 | Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 2 | Life and Adventures of James Williams, a Fugitive Slave, with a Full Description of the Underground Railroad (James  Williams): 2 | Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 1"
253,15,253_proctor_mr proctor_cassy_goodwin,1836,1891,"The White Slave; or, Memoirs of a Fugitive (Richard  Hildreth): 3 | Narrative of Joanna; An Emancipated Slave, of Surinam. (From Stedman's Narrative of a Five Year's Expedition Against the Revolted Negroes of Surinam) (John Gabriel Stedman): 2 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 1 | Autobiography of a Female Slave (Martha Griffith Browne): 1 | Running a Thousand Miles for Freedom; or, the Escape of William and Ellen Craft from Slavery (William  Craft): 1"
254,15,254_cullen_captain_captain cullen_battle,1789,1911,"The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 4 | John and Mary; or, The Fugitive Slaves, a Tale of South-Eastern Pennsylvania (Ellwood  Griest): 2 | The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of Real Life (J. W. Loguen): 2 | The Life of Toussaint L'Ouverture, the Negro Patriot of Hayti: Comprising an Account of the Struggle for Liberty in the Island, and a Sketch of Its History to the Present Period (J. R. Beard): 1 | The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 1"
255,15,255_deck_cingue_montez_ruiz,1840,1894,"A History of the Amistad Captives: Being a Circumstantial Account of the Capture of the Spanish Schooner Amistad, by the Africans on Board; Their Voyage, and Capture Near Long Island, New York; with Biographical Sketches of Each of the Surviving Africans; Also, an Account of the Trials had on Their case, Before the District and Circuit Courts of the United States, for the District of Connecticut (John Warner Barber): 5 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 1 | Biography of Mahommah G. Baquaqua, a Native of Zoogoo, in the Interior of Africa. (A Convert to Christianity,) With a Description of That Part of the World; Including the Manners and Customs of the Inhabitants, Their Religious Notions, Form of Government, Laws, Appearance of the Country, Buildings, Agriculture, Manufactures, Shepherds and Herdsmen, Domestic Animals, Marriage Ceremonials, Funeral Services, Styles of Dress, Trade and Commerce, Modes of Warfare, System of Slavery, &amp;c., &amp;c. Mahommah's Early Life, His Education, His Capture and Slavery in Western Africa and Brazil, His Escape to the United States, from Thence to Hayti, (the City of Port Au Prince,) His Reception by the Baptist Missionary There, The Rev. W. L. Judd; His Conversion to Christianity, Baptism, and Return to This Country, His Views, Objects and Aim. Written and Revised from His Own Words, by Samuel Moore, Esq., Late Publisher of the ""North of England Shipping Gazette,"" Author of Several Popular Works, and Editor of Sundry Reform Papers (Mahommah Gardo Baquaqua): 1 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 1 | Life of George Henry. Together with a Brief History of the Colored People in America (George  Henry): 1"
256,15,256_sear_cassy_st john_mrs wheatley,1836,1926,"The White Slave; or, Memoirs of a Fugitive (Richard  Hildreth): 4 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 1 | The Narrative of Bethany Veney: A Slave Woman (Bethany  Veney): 1 | Autobiography of a Female Slave (Martha Griffith Browne): 1 | Homespun Heroines and Other Women of Distinction (Hallie Q. Brown): 1"
257,15,257_dey_mrs benson_judy_dat,1826,1913,"Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 2 | A True Story, Repeated Word for Word As I Heard It. From The Atlantic Monthly. Nov. 1874: 591-594 (Mark  Twain): 2 | From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (William H. Robinson): 1 | Aunt Judy's Story: A Tale From Real Life. Written for the Pennsylvania Anti-Slavery Fair (Matilda G. Thompson): 1 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 1"
258,15,258_johnston_mr edmondson_edmondson_jimmie,1837,1929,"Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 2 | Memories of Childhood's Slavery Days (Annie L. Burton): 1 | From Log Cabin to the Pulpit, or, Fifteen Years in Slavery (William H. Robinson): 1 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 1 | My Life and Travels (Levi  Branham): 1"
259,15,259_stowe_st michael_mrs stowe_michael,1797,1908,"Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 2 | Narrative of the Life of Moses Grandy, Late a Slave in the United States of America (Moses  Grandy): 1 | The Experience of Rev. Thomas H. Jones, Who Was a Slave for Forty-Three Years. Written by a Friend, as Related to Him by Brother Jones (Thomas H. Jones): 1 | Narrative of the Life of John Quincy Adams, When in Slavery, and Now as a Freeman (John Quincy Adams): 1 | An Autobiography. Bond and Free:  Or, Yearnings for Freedom, from My Green Brier House. Being the Story of My Life in Bondage, and My Life in Freedom (Israel  Campbell): 1"
260,15,260_mcnellis_attorney_mortgage_mr fussell,1825,1917,"Book for the People! To Be Read by All Voters, Black and White, with Thrilling Events of the Life of Norvel Blair, of Grundy County, State of Illinois. Written and Published by Him, and with the Money He Earned by His Own Labor, and Is Sent Out with the Sincere Hope that if Carefully Read, It Will Tend to Put a Stop to Northern Bull-Dozing and Will Give to All a Free Ballot, without Fear, Favor or Affection and Respect (Norvel  Blair): 7 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 2 | A Brief History of the Slave Life of Rev. L. R. Ferebee, and the Battles of Life, and Four Years of His Ministerial Life. Written from Memory. To 1882 (L. R. Ferebee): 1 | Twenty-Two Years a Slave, and Forty Years a Freeman; Embracing a Correspondence of Several Years, While President of Wilberforce Colony, London, Canada West (Austin  Steward): 1 | Life of William Grimes, the Runaway Slave. Written by Himself (William  Grimes): 1"
261,15,261_horse_beg kill_chaise_rail,1837,1929,"Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 1 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 1 | A Narrative of the Adventures and Escape of Moses Roper, from American Slavery (Moses  Roper): 1 | Before the War, and After the Union.  An Autobiography (Sam  Aleckson): 1 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 1"
262,15,262_haliburton_race_moton_major moton,1852,1924,"My Larger Education: Being Chapters from My Experience (Booker T. Washington): 3 | Men of Mark: Eminent, Progressive and Rising (William J. Simmons): 3 | The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D. (M. L. Latta): 2 | Memories of Childhood's Slavery Days (Annie L. Burton): 1 | Men of Maryland (George F. Bragg): 1"
263,15,263_holiday_dey gib_dur holiday_gib,1836,1892,"American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 3 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 2 | Narrative of the Sufferings of Lewis Clarke, During a Captivity of More than Twenty-Five Years, Among the Algerines of Kentucky, One of the So Called Christian States of North America (Lewis Garrard Clarke): 1 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 1 | Narrative of the Life of Frederick Douglass, an American Slave. Written by Himself (Frederick  Douglass): 1"
264,15,264_equality_convention_hezekiah grice_american,1847,1914,"Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 4 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 4 | Frederick Douglass The Orator. Containing an Account of His Life; His Eminent Public Services; His Brilliant Career as Orator; Selections from His Speeches and Writings (James M. Gregory): 2 | Twenty-Two Years a Slave, and Forty Years a Freeman; Embracing a Correspondence of Several Years, While President of Wilberforce Colony, London, Canada West (Austin  Steward): 1 | Men of Maryland (George F. Bragg): 1"
265,15,265_wood_ensor_gorsuch_dogs,1789,1875,"Struggles for Freedom; or The Life of James Watkins, Formerly a Slave in Maryland, U. S.; in Which is Detailed a Graphic Account of His Extraordinary Escape from Slavery, Notices of the Fugitive Slave Law, the Sentiments of American Divines on the Subject of Slavery, etc., etc. (James  Watkins): 3 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 2 | Fifty Years in Chains, or, The Life of an American Slave (Charles  Ball): 1 | A Narrative of the Adventures and Escape of Moses Roper, from American Slavery (Moses  Roper): 1 | Narrative of James Williams, an American Slave, Who Was for Several Years a Driver on a Cotton Plantation in Alabama (James  Williams): 1"
266,15,266_mr freeland_freeland_jarm_barn,1845,1901,"The Rev. J. W. Loguen, as a Slave and as a Freeman. A Narrative of Real Life (J. W. Loguen): 3 | An Autobiography. Bond and Free:  Or, Yearnings for Freedom, from My Green Brier House. Being the Story of My Life in Bondage, and My Life in Freedom (Israel  Campbell): 2 | Jamie Parker, the Fugitive (Emily Catharine Pierson): 2 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 1 | Narrative of the Life of Frederick Douglass, an American Slave. Written by Himself (Frederick  Douglass): 1"
267,15,267_raleigh_richmond_dollar_teacher,1846,1917,"The New Man: Twenty-Nine Years a Slave,Twenty-Nine Years a Free Man (Henry Clay Bruce): 2 | What Experience Has Taught Me: An Autobiography of Thomas William Burton (Thomas William Burton): 2 | The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D. (M. L. Latta): 2 | My Larger Education: Being Chapters from My Experience (Booker T. Washington): 1 | A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 1"
268,15,268_preach_brother ward_preacher_bishop,1861,1912,"Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") Editor, Publisher, and Church Extension Secretary; a Narration of His Whole Career from the Cradle to the Bishopric of the Colored M. E. Church in America (M. F. Jamison): 3 | The History of My Life and Work. Autobiography by Rev. M. L. Latta, A.M., D.D. (M. L. Latta): 3 | An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: Containing an Account of Her Life Work of Faith, and Her Travels in America, England, Ireland, Scotland, India, and Africa as an Independent Missionary (Amanda  Smith): 2 | The Life of Rev. Robert Anderson. Born the 22d Day of February, in the Year of Our Lord 1819, and Joined the Methodist Episcopal Church in 1839. This Book Shall Be Called The Young Men's Guide, Or, the Brother in White (Robert  Anderson): 1 | The Anderson Surpriser. Written After He Was Seventy-Five Years of Age. The Author Was Born in Liberty County, Ga., on the 22d Day of February, in the Year of Our Lord, 1819, and United with the Methodist Episcopal Church in the Year 1839. This Book Contains an Account of His Florida and Northern Trip, Written by Himself, Giving Much Valuable Information of the People Among Whom He Had Been Several Months (Robert  Anderson): 1"
269,14,269_miss baldwin_baldwin_chloe_mossell,1826,1926,"Memoir of Mrs. Chloe Spear, a Native of Africa, Who was Enslaved in Childhood, and Died in Boston, January 3, 1815...Aged 65 Years. By a Lady of Boston (Rebecca Warren Brown): 4 | Homespun Heroines and Other Women of Distinction (Hallie Q. Brown): 3 | An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: Containing an Account of Her Life Work of Faith, and Her Travels in America, England, Ireland, Scotland, India, and Africa as an Independent Missionary (Amanda  Smith): 2 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 1 | Narratives of Colored Americans (Abigail  Mott): 1"
270,14,270_lord_pray_sterret_miss celie,1872,1926,"An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: Containing an Account of Her Life Work of Faith, and Her Travels in America, England, Ireland, Scotland, India, and Africa as an Independent Missionary (Amanda  Smith): 6 | Twice Sold, Twice Ransomed: Autobiography of Mr. and Mrs. L. P. Ray (Emma J. Ray): 5 | Autobiography of Rev. Thomas W. Henry, of the A. M. E. Church (Thomas W. Henry): 1 | Life and History of the Rev. Elijah P. Marrs, First Pastor of Beargrass Baptist Church, and Author (Elijah P. Marrs): 1 | Life of Mary F. McCray: Born and Raised a Slave in the State of Kentucky (S. J. McCray): 1"
271,14,271_pray_ray_mission_lord,1892,1926,"Twice Sold, Twice Ransomed: Autobiography of Mr. and Mrs. L. P. Ray (Emma J. Ray): 5 | An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: Containing an Account of Her Life Work of Faith, and Her Travels in America, England, Ireland, Scotland, India, and Africa as an Independent Missionary (Amanda  Smith): 4 | Twenty-Eight Years a Slave, or The Story of My Life in Three Continents (Thomas L. Johnson): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1 | A Slave Girl's Story. Being an Autobiography of Kate Drumgoold (Kate  Drumgoold): 1"
272,14,272_roll_overseer_pays com_mr warner,1836,1909,"The Slave: or Memoirs of Archy Moore. Vol. I (Richard  Hildreth): 3 | The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 2 | The Experience of a Slave in South Carolina (John Andrew Jackson): 1 | Twelve Years a Slave: Narrative of Solomon Northup, a Citizen of New-York, Kidnapped in Washington City in 1841, and Rescued in 1853 (Solomon  Northup): 1 | Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 1"
273,14,273_tater_aggs_mrs stowe_stowe,1845,1880,"Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 5 | The Life and Sufferings of Leonard Black, a Fugitive from Slavery. Written by Himself (Leonard  Black): 1 | Scenes in the Life of Harriet Tubman (Sarah H. Bradford): 1 | My Southern Home: or, The South and Its People (William Wells Brown): 1 | Narrative of the Life of Henry Box Brown, Written by Himself (Henry Box Brown): 1"
274,14,274_music_musical_guitar_trotter,1865,1912,"Men of Mark: Eminent, Progressive and Rising (William J. Simmons): 10 | A Sketch of the Life of Thomas Greene Bethune (Blind Tom) (  No Author): 1 | Frederick Douglass (Booker T. Washington): 1 | Frederick Douglass The Orator. Containing an Account of His Life; His Eminent Public Services; His Brilliant Career as Orator; Selections from His Speeches and Writings (James M. Gregory): 1 | A Narrative of the Negro (Leila Amos Pendleton): 1"
275,14,275_yo_missis_fanny_hannah,1863,1894,"The Story of a Slave. A Realistic Revelation of a Social Relation of Slave Times--Hitherto Unwritten--From the Pen of One Who Has Felt Both the Lash and the Caress of a Mistress (  No Author): 6 | Slave Life in Virginia and Kentucky; or, Fifty Years of Slavery in the Southern States of America (Francis  Fedric): 3 | My Southern Home: or, The South and Its People (William Wells Brown): 2 | Autobiography of Rev. Francis Frederick, of Virginia (Francis  Frederick): 1 | Narrative of Sojourner Truth; a Bondswoman of Olden Time, Emancipated by the New York Legislature in the Early Part of the Present Century; with a History of Her Labors and Correspondence, Drawn from Her ""Book of Life"" (Sojourner  Truth): 1"
276,14,276_camel_lion_beast_tree,1837,1892,"Slavery in the United States: A Narrative of the Life and Adventures of Charles Ball, a Black Man, Who Lived Forty Years in Maryland, South Carolina and Georgia, as a Slave Under Various Masters, and was One Year in the Navy with Commodore Barney, During the Late War (Charles  Ball): 7 | The Life and Adventures of Zamba, an African Negro King; and His Experience of Slavery in South Carolina. Written by Himself. Corrected and Arranged by Peter Neilson (Peter  Neilson): 3 | Incidents Connected with the Life of Selim Aga, a Native of Central Africa (Selim  Aga): 1 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 1 | Narratives of Colored Americans (Abigail  Mott): 1"
277,14,277_holy_mr pendleton_nearer thee_nearer,1810,1929,"Samuel Joseph May. Born in Boston, Massachusetts, September 12th, 1797. Died in Syracuse, New York, July 1st, 1871 (  No Author): 2 | Incidents in the Life of a Slave Girl. Written by Herself (Harriet A. Jacobs): 1 | The House of Bondage, or, Charlotte Brooks and Other Slaves, Original and Life Like, As They Appeared in Their Old Plantation and City Slave Life; Together with Pen-Pictures of the Peculiar Institution, with Sights and Insights into Their New Relations as Freedmen, Freemen, and Citizens (Octavia V. Rogers Albert): 1 | Before the War, and After the Union.  An Autobiography (Sam  Aleckson): 1 | The Anderson Surpriser. Written After He Was Seventy-Five Years of Age. The Author Was Born in Liberty County, Ga., on the 22d Day of February, in the Year of Our Lord, 1819, and United with the Methodist Episcopal Church in the Year 1839. This Book Contains an Account of His Florida and Northern Trip, Written by Himself, Giving Much Valuable Information of the People Among Whom He Had Been Several Months (Robert  Anderson): 1"
