topic,count,default_name,year_min,year_max,top_documents
19,68,19_liberty_government_constitution_principle,1836,1929,"Narrative of Henry Box Brown, Who Escaped from Slavery, Enclosed in a Box 3 Feet Long and 2 Wide. Written from a Statement of Facts Made by Himself. With Remarks Upon the Remedy for Slavery. By Charles Stearns (Henry Box Brown): 5 | Frederick Douglass The Colored Orator (Frederic May Holland): 5 | Pictures of Slavery in Church and State; Including Personal Reminiscences, Biographical Sketches, Anecdotes, etc. etc.  with an Appendix, Containing the Views of John Wesley and Richard Watson on Slavery (John Dixon Long): 3 | Narrative and Writings of Andrew Jackson, of Kentucky; Containing an Account of His Birth, and Twenty-Six Years of His Life While a Slave; His Escape; Five Years of Freedom, Together with Anecdotes Relating to Slavery; Journal of One Year's Travels; Sketches, etc. Narrated by Himself; Written by a Friend (Andrew  Jackson): 3 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 3"
20,67,20_jesus_lord_christ_soul,1789,1924,"A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 6 | The Life of the Rev. Dandridge F. Davis, of the African M. E. Church. With a Brief Account of His Conversion and Ministerial Labors, from August 1834, till March 1847. Also, a Brief Sketch of the Life of the Rev. David Conyou, of the A. M. E. C. and His Ministerial Labors. To Which Is Annexed the Funeral Discourse Delivered at the Ohio Conference, in Zanesville, on the Decease of the Rev. D. F. Davis, by the Author (A. R. Green): 5 | The Interesting Narrative of the Life of Olaudah Equiano, or Gustavus Vassa, the African. Written by Himself. Vol. II. (Olaudah  Equiano): 5 | The Life, History, and Unparalleled Sufferings of John Jea, the African Preacher. Compiled and Written by Himself (John  Jea): 4 | The Life, Labors, and Travels of Elder Charles Bowles, of the Free Will Baptist Denomination, by Eld. John W. Lewis. Together with an Essay on the Character and Condition of the African Race by the Same. Also, an Essay on the Fugitive Law of the U. S. Congress of 1850, by Rev. Arthur Dearing (John W. Lewis): 3"
21,64,21_christ_lord_resurrection_christian,1770,1908,"The African Preacher. An Authentic Narrative (William S. White): 11 | The Life of the Rev. Dandridge F. Davis, of the African M. E. Church. With a Brief Account of His Conversion and Ministerial Labors, from August 1834, till March 1847. Also, a Brief Sketch of the Life of the Rev. David Conyou, of the A. M. E. C. and His Ministerial Labors. To Which Is Annexed the Funeral Discourse Delivered at the Ohio Conference, in Zanesville, on the Decease of the Rev. D. F. Davis, by the Author (A. R. Green): 6 | A Tribute for the Negro: Being a Vindication of the Moral, Intellectual, and Religious Capabilities of the Colored Portion of Mankind; with Particular Reference to the African Race (Wilson  Armistead): 6 | Narratives of Colored Americans (Abigail  Mott): 5 | Memoir of Pierre Toussaint, Born a Slave in St. Domingo (Hannah Farnham Sawyer Lee): 4"
22,61,22_church_conference_member_pastor,1833,1924,"Life and Labors of Rev. Jordan W. Early, One of the Pioneers of African Methodism in the West and South (Sarah J. W. Early): 22 | Pastor Henry N. Jeter's Twenty-five Years Experience with the Shiloh Baptist Church and Her History. Corner School and Mary Streets, Newport, R. I. (Henry N. Jeter): 6 | Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") Editor, Publisher, and Church Extension Secretary; a Narration of His Whole Career from the Cradle to the Bishopric of the Colored M. E. Church in America (M. F. Jamison): 4 | Battles and Victories of Allen Allensworth, A. M., Ph. D., Lieutenant-Colonel, Retired, U. S. Army (Charles  Alexander): 4 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 3"
23,61,23_kidnapper_fugitive_carriage_escape,1836,1918,"Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 5 | Narrative of William W. Brown, an American Slave. Written by Himself (William Wells Brown): 3 | Lunsford Lane; or, Another Helper from North Carolina (William G. Hawkins): 3 | Slave Life in Georgia: A Narrative of the Life, Sufferings, and Escape of John Brown, a Fugitive Slave, Now in England (John  Brown): 3 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 3"
24,61,24_court_jury_lewis_judge,1825,1917,"Out of the Ditch.  A True Story of an Ex-Slave (J. Vance Lewis): 19 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 4 | Autobiography and Work of Bishop M. F. Jamison, D.D. (""Uncle Joe"") Editor, Publisher, and Church Extension Secretary; a Narration of His Whole Career from the Cradle to the Bishopric of the Colored M. E. Church in America (M. F. Jamison): 4 | Fanaticism; Its Source and Influence, Illustrated by the Simple Narrative of Isabella, in the Case of Matthias, Mr. and Mrs. B. Folger, Mr. Pierson, Mr. Mills, Catherine, Isabella, &amp;c. &amp;c. A Reply to W. L. Stone, with the Descriptive Portraits of All the Parties, While at Sing-Sing and at Third  Street. - Containing the Whole Truth - and Nothing but the Truth (G.  Vale): 3 | Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 3"
25,59,25_paul_ritty_cassy_mistress,1836,1897,"The Story of a Slave. A Realistic Revelation of a Social Relation of Slave Times--Hitherto Unwritten--From the Pen of One Who Has Felt Both the Lash and the Caress of a Mistress (  No Author): 34 | The White Slave; or, Memoirs of a Fugitive (Richard  Hildreth): 8 | Autobiography of a Female Slave (Martha Griffith Browne): 5 | The Slave: or Memoirs of Archy Moore. Vol. I (Richard  Hildreth): 3 | The Slave: or Memoirs of Archy Moore. Vol. II (Richard  Hildreth): 2"
26,58,26_liberty_aaron_nation_stockade,1839,1893,"Poems by a Slave in the Island of Cuba, Recently Liberated; Translated from the Spanish, by R. R. Madden, M.D. With the History of the Early Life of the Negro Poet, Written by Himself; to Which Are Prefixed Two Pieces Descriptive of Cuban Slavery and the Slave-Traffic, by R. R. M. (Juan Francisco Manzano): 4 | American Slavery As It Is: Testimony of a Thousand Witnesses (Theodore Dwight Weld): 3 | The Light and Truth of Slavery. Aaron's History (  Aaron): 3 | Uncle Tom's Companions: Or, Facts Stranger Than Fiction.  A Supplement to Uncle Tom's Cabin: Being Startling Incidents in the Lives of Celebrated Fugitive Slaves. (John Passmore Edwards): 3 | My Bondage and My Freedom. Part I. Life as a Slave. Part II. Life as a Freeman (Frederick  Douglass): 3"
27,58,27_party_territory_union_constitution,1839,1917,"Life and Times of Frederick Douglass: His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time (Frederick  Douglass): 8 | Life and Opinions of Julius Melbourn; with Sketches of the Lives and Characters of Thomas Jefferson, John Quincy Adams, John Randolph, and Several Other Eminent American Statesmen (Julius  Melbourn): 7 | Life and Times of Frederick Douglass, Written by Himself. His Early Life as a Slave, His Escape from Bondage, and His Complete History to the Present Time, Including His Connection with the Anti-slavery Movement; His Labors in Great Britain as Well as in His Own Country; His Experience in the Conduct of an Influential Newspaper; His Connection with the Underground Railroad; His Relations with John Brown and the Harpers Ferry Raid;  His Recruiting the 54th and 55th Mass. Colored Regiments; His Interviews with Presidents Lincoln and Johnson; His Appointment by Gen. Grant to Accompany the Santo Domingo Commission&#x2014;Also to a Seat in the Council of the District of Columbia; His Appointment as United States Marshal by President R. B. Hayes; Also His Appointment to Be Recorder of Deeds in Washington by President J. A. Garfield; with Many Other Interesting and Important Events of His Most Eventful Life; With an Introduction by Mr. George L. Ruffin, of Boston (Frederick  Douglass): 6 | Autobiography of a Fugitive Negro: His Anti-Slavery Labours in the United States, Canada, &amp; England (Samuel Ringgold Ward): 4 | Frederick Douglass (Booker T. Washington): 4"
28,57,28_passenger_steamer_board_ship,1789,1928,"An Autobiography: The Story of the Lord's Dealings with Mrs. Amanda Smith, the Colored Evangelist: Containing an Account of Her Life Work of Faith, and Her Travels in America, England, Ireland, Scotland, India, and Africa as an Independent Missionary (Amanda  Smith): 8 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 4 | The Looking-Glass: Being a True Report and Narrative of the Life, Travels, and Labors of the Rev. Daniel H. Peterson, a Colored Clergyman; Embracing a Period of Time from the Year 1812 to 1854, and Including His Visit to Western Africa (Daniel H. Peterson): 4 | My Life and Work (Alexander  Walters): 3 | Up from Slavery: An Autobiography (Booker T. Washington): 3"
