topic,count,default_name,year_min,year_max,top_documents
22,20,22_church_native_society_cape,1826,1917,"The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 4 | Reminiscences of School Life, and Hints on Teaching (Fanny Jackson Coppin): 4 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 3 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 2 | Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University."" (David  Smith): 2"
23,20,23_hunter_coon_tree_hunt,1895,1917,"Last of the Pioneers: Or, Old Times in East Tenn., Being the Life and Reminiscences of Pharaoh Jackson Chesney (Aged 120 Years) (Pharaoh Jackson Chesney): 16 | Recollections of Slavery Times (Allen  Parker): 2 | From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 2"
24,19,24_palace_paris_louis_queen,1855,1855,The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 19
25,18,25_church_professor_conference_rev,1881,1916,"Biography of Rev. David Smith of the A. M. E. Church; Being a Complete History, Embracing over Sixty Years' Labor in the Advancement of the Redeemer's Kingdom on Earth. Including ""The History of the Origin and Development of Wilberforce University."" (David  Smith): 11 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 7"
26,18,26_peter_dollar_syracuse_shaker,1826,1891,"The Kidnapped and the Ransomed. Recollections of Peter Still and His Wife ""Vina,"" after Forty Years of Slavery. (Kate E. R. Pickard): 9 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 3 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 2 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 2 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 1"
27,18,27_thou_shalt_thee_lord,1810,1929,"The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace. Containing an Account of the Kingdom of Bow-Woo, in the Interior of Africa; with the Climate and Natural Productions, Laws, and Customs Peculiar to That Place. With an Account of His Captivity, Sufferings, Sales, Travels, Emancipation, Conversion to the Christian Religion, Knowledge of the Scriptures, &amp;c. Interspersed with Strictures on Slavery, Speculative Observations on the Qualities of Human Nature, with Quotation from Scripture (Boyrereau  Brinch): 6 | Trials and Confessions of Madison Henderson, Alias Blanchard, Alfred Amos Warrick, James W. Seward, and Charles Brown, Murderers of Jesse Baker and Jacob Weaver, as Given by Themselves; and a Likeness of Each, Taken in Jail Shortly after Their Arrest (Madison  Henderson): 3 | Biographical Sketches and Interesting Anecdotes of Persons of Colour. To Which is Added, a Selection of Pieces in Poetry (Abigail  Mott): 3 | Narrative of William Hayden, Containing a Faithful Account of His Travels for a Number of Years, Whilst a Slave, in the South. Written by Himself (William  Hayden): 2 | Life of George M. Horton. The Colored Bard of North Carolina from ""The Poetical Works of George M. Horton, the Colored Bard of North Carolina, to which is Prefixed the Life of the Author, written by himself."" (George Moses Horton): 1"
28,18,28_christophe_petion_government_rigaud,1855,1863,"The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 14 | The Colored Patriots of the American Revolution: With Sketches of Several Distinguished Colored Persons: To Which is Added a Brief Survey of the Condition and Prospects of Colored Americans (William Cooper Nell): 3 | The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 1"
29,17,29_poet_pope_genius_poem,1845,1863,"The American Fugitive in Europe. Sketches of Places and People Abroad (William Wells Brown): 15 | Life of George M. Horton. The Colored Bard of North Carolina from ""The Poetical Works of George M. Horton, the Colored Bard of North Carolina, to which is Prefixed the Life of the Author, written by himself."" (George Moses Horton): 1 | The Black Man: His Antecedents, His Genius, and His Achievements (William Wells Brown): 1"
30,17,30_pat_car_bond_train,1846,1917,"From Slavery to Wealth. The Life of Scott Bond.  The Rewards of Honesty, Industry, Economy and Perseverance (Dan. A. Rudd): 7 | Life of Isaac Mason as a Slave (Isaac  Mason): 5 | Memories of Childhood's Slavery Days (Annie L. Burton): 2 | Autobiography of Bishop Isaac Lane, LL.D. with a Short History of the C.M.E. Church in America and of Methodism (Isaac  Lane): 1 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 1"
31,16,31_soldier_plantation_pig_cake,1846,1917,"Recollections of Slavery Times (Allen  Parker): 7 | Memories of Childhood's Slavery Days (Annie L. Burton): 3 | From Slavery to a Bishopric, or, The Life of Bishop Walter Hawkins of the British Methodist Episcopal Church Canada (S. J. Celestine Edwards): 2 | Last of the Pioneers: Or, Old Times in East Tenn., Being the Life and Reminiscences of Pharaoh Jackson Chesney (Aged 120 Years) (Pharaoh Jackson Chesney): 2 | Narratives of the Sufferings of Lewis and Milton Clarke, Sons of a Soldier of the Revolution, During a Captivity of More than Twenty Years Among the Slaveholders of Kentucky, One of the So-Called Christian States of North America (Lewis Garrard Clarke): 1"
